"Departure Date

","Flight Number
","Segment
","Booked Load
(Adult/Infant)","Go Shows
",No Recs.,No Shows,"Flown Load
",report_from_date,report_to_date
08/22/2025,RB506,SHJ/DAM,68 \ 1,0.0,0.0,5.0,64,2025-08-01,
08/22/2025,RB504,AUH/DAM,96 \ 1,0.0,0.0,3.0,94,2025-08-01,
08/22/2025,RB516,DXB/DAM,61 \ 1,0.0,0.0,3.0,59,2025-08-01,
08/22/2025,RB501,DAM/SHJ,149 \ 9,0.0,0.0,2.0,156,2025-08-01,
08/22/2025,RB443,DAM/IST,90 \ 2,0.0,0.0,2.0,90,2025-08-01,
08/22/2025,RB389,DAM/RUH,159 \ 5,0.0,0.0,1.0,163,2025-08-01,
08/22/2025,RB502,SHJ/DAM,35 \ 4,0.0,2.0,1.0,35,2025-08-01,
08/22/2025,RB444,IST/DAM,76 \ 6,0.0,0.0,0.0,82,2025-08-01,
08/22/2025,RB390,RUH/DAM,25 \ 3,0.0,0.0,6.0,22,2025-08-01,
08/23/2025,RB505,DAM/SHJ,145 \ 5,0.0,0.0,1.0,149,2025-08-01,
08/23/2025,RB515,DAM/DXB,151 \ 7,0.0,0.0,1.0,157,2025-08-01,
08/23/2025,RB389,DAM/RUH,157 \ 5,0.0,0.0,0.0,162,2025-08-01,
08/23/2025,RB506,SHJ/DAM,46 \ 2,0.0,0.0,3.0,45,2025-08-01,
08/23/2025,RB390,RUH/DAM,35 \ 0,0.0,0.0,0.0,35,2025-08-01,
08/23/2025,RB516,DXB/DAM,66 \ 2,0.0,0.0,4.0,64,2025-08-01,
08/23/2025,RB521,DAM/DOH,159 \ 11,0.0,0.0,0.0,170,2025-08-01,
08/23/2025,RB501,DAM/SHJ,151 \ 4,0.0,0.0,0.0,155,2025-08-01,
08/23/2025,RB341,DAM/KWI,154 \ 3,0.0,0.0,2.0,153,2025-08-01,
